title,genres,actors,director
Good Deeds,Comedy Drama Romance,Tyler Perry Phylicia Rashād Thandie Newton,Tyler Perry
White Fang,Action Adventure Drama Family,Klaus Maria Brandauer Ethan Hawke Seymour Cassel,Randal Kleiser
Superstar,Comedy Family,Molly Shannon Will Ferrell Elaine Hendrix,Bruce McCulloch
The Iron Lady,History Drama,Meryl Streep Anthony Stewart Head Harry Lloyd,Phyllida Lloyd
Jonah: A VeggieTales Movie,Action Adventure Animation Comedy Family Fantasy Romance,Phil Vischer Mike Nawrocki Tim Hodge,Phil Vischer
Poetic Justice,Drama Romance,Janet Jackson Tupac Amaru Shakur Regina King,John Singleton
All About the Benjamins,Action Adventure Comedy,Ice Cube Mike Epps Tommy Flanagan,Kevin Bray
Vampire in Brooklyn,Comedy Horror Romance,Eddie Murphy Angela Bassett Allen Payne,Wes Craven
Exorcist II: The Heretic,Horror Thriller Fantasy,Linda Blair Richard Burton Louise Fletcher,John Boorman
An American Haunting,Horror Thriller,Donald Sutherland Sissy Spacek James D'Arcy,Courtney Solomon
My Boss's Daughter,Comedy Romance,Ashton Kutcher Tara Reid Andy Richter,David Zucker
A Perfect Getaway,Thriller Mystery Adventure,Milla Jovovich Timothy Olyphant Steve Zahn,David Twohy
Our Family Wedding,Comedy,Forest Whitaker America Ferrera Carlos Mencia,Rick Famuyiwa
Dead Man on Campus,Comedy,Tom Everett Scott Mark-Paul Gosselaar Poppy Montgomery,Alan Cohn
Tea with Mussolini,Comedy Drama War,Cher Judi Dench Joan Plowright,Franco Zeffirelli
Thinner,Horror Thriller,Robert John Burke Joe Mantegna Lucinda Jenney,Tom Holland
"New York, New York",Drama Music Romance,Liza Minnelli Robert De Niro Lionel Stander,Martin Scorsese
Crooklyn,Comedy Drama,Alfre Woodard Delroy Lindo David Patrick Kelly,Spike Lee
I Think I Love My Wife,Comedy Romance,Chris Rock Kerry Washington Gina Torres,Chris Rock
Jason X,Horror Science Fiction,Kane Hodder Lexa Doig Chuck Campbell,James Isaac
Bobby,History Drama,Anthony Hopkins Heather Graham Ashton Kutcher,Emilio Estevez
Head Over Heels,Comedy Romance,Monica Potter Freddie Prinze Jr. Shalom Harlow,Mark Waters
Fun Size,Comedy,Victoria Justice Jackson Nicoll Chelsea Handler,Josh Schwartz
Le scaphandre et le papillon,Drama,Mathieu Amalric Emmanuelle Seigner Marie-Josée Croze,Julian Schnabel
Little Children,Romance Drama,Kate Winslet Patrick Wilson Jennifer Connelly,Todd Field
Gossip,Drama Mystery Thriller,Joshua Jackson James Marsden Kate Hudson,Davis Guggenheim
A Walk on the Moon,Drama Romance,Diane Lane Viggo Mortensen Liev Schreiber,Tony Goldwyn
Catch a Fire,Action Drama Thriller,Tim Robbins Derek Luke Bonnie Henna,Phillip Noyce
Soul Survivors,Horror Mystery Thriller,Eliza Dushku Melissa Sagemiller Wes Bentley,Stephen Carpenter
Jefferson in Paris,Drama Romance,Nick Nolte Greta Scacchi Thandie Newton,James Ivory
Easy Virtue,Comedy Romance,Jessica Biel Ben Barnes Kristin Scott Thomas,Stephan Elliott
Caravans,Action Adventure Drama Romance,Anthony Quinn Jennifer O'Neill Michael Sarrazin,James Fargo
Mr. Turner,History Drama,Timothy Spall Dorothy Atkinson Marion Bailey,Mike Leigh
Les herbes folles,Drama Romance,André Dussollier Sabine Azéma Emmanuelle Devos,Alain Resnais
Amen.,Drama History,Ulrich Tukur Mathieu Kassovitz Ulrich Mühe,Costa-Gavras
剑雨,History Action,Michelle Yeoh Jung Woo-sung Wang Xue-qi,John Woo
The Lucky Ones,Comedy Drama History,Tim Robbins Rachel McAdams Michael Peña,Neil Burger
Margaret,Drama,Anna Paquin Matt Damon Mark Ruffalo,Kenneth Lonergan
Stan Helsing,Comedy Horror,Diora Baird Leslie Nielsen Steve Howey,Bo Zenga
Flipped,Romance Drama,Madeline Carroll Callan McAuliffe Rebecca De Mornay,Rob Reiner
Brokeback Mountain,Drama Romance,Heath Ledger Jake Gyllenhaal Randy Quaid,Ang Lee
Clueless,Comedy Drama Romance,Alicia Silverstone Stacey Dash Brittany Murphy,Amy Heckerling
Far from Heaven,Drama Romance,Julianne Moore Dennis Quaid Dennis Haysbert,Todd Haynes
Hot Tub Time Machine 2,Comedy,Rob Corddry Craig Robinson Clark Duke,Steve Pink
Quills,Drama,Geoffrey Rush Kate Winslet Joaquin Phoenix,Philip Kaufman
Seven Psychopaths,Comedy Crime,Colin Farrell Sam Rockwell Woody Harrelson,Martin McDonagh
The Caveman's Valentine,Drama Mystery Thriller,Samuel L. Jackson Colm Feore Ann Magnuson,Kasi Lemmons
Der Untergang,Drama History War,Bruno Ganz Alexandra Maria Lara Corinna Harfouch,Oliver Hirschbiegel
Mar adentro,Drama,Javier Bardem Belén Rueda Lola Dueñas,Alejandro Amenábar
Under the Skin,Thriller Science Fiction Drama,Scarlett Johansson Kryštof Hádek Paul Brannigan,Jonathan Glazer
"Good Morning, Vietnam",Comedy Drama War,Robin Williams Forest Whitaker Tung Thanh Tran,Barry Levinson
The Last Godfather,Action Comedy Thriller,Harvey Keitel Jason Mewes Blake Clark,Shim Hyung-Rae
Justin Bieber: Never Say Never,Documentary Music Family,Justin Bieber Miley Cyrus Usher Raymond,Jon M. Chu
Black Swan,Drama Thriller,Natalie Portman Mila Kunis Vincent Cassel,Darren Aronofsky
The Godfather: Part II,Drama Crime,Al Pacino Robert Duvall Diane Keaton,Francis Ford Coppola
Save the Last Dance,Drama Family Romance Music,Julia Stiles Sean Patrick Thomas Kerry Washington,Thomas Carter
A Nightmare on Elm Street 4: The Dream Master,Horror Thriller,Robert Englund Tuesday Knight Ken Sagoes,Renny Harlin
Miracles from Heaven,Drama,Jennifer Garner Kylie Rogers Martin Henderson,Patricia Riggen
"Dude, Where’s My Car?",Comedy,Ashton Kutcher Seann William Scott Kristy Swanson,Danny Leiner
Young Guns,Crime Action Adventure Drama Western,Emilio Estevez Kiefer Sutherland Lou Diamond Phillips,Christopher Cain
St. Vincent,Comedy,Bill Murray Melissa McCarthy Naomi Watts,Theodore Melfi
About Last Night,Comedy Romance,Kevin Hart Michael Ealy Regina Hall,Steve Pink
10 Things I Hate About You,Comedy Romance Drama,Heath Ledger Julia Stiles Joseph Gordon-Levitt,Gil Junger
The New Guy,Comedy Family,DJ Qualls Eliza Dushku Zooey Deschanel,Ed Decter
National Lampoon's Loaded Weapon 1,Comedy,Emilio Estevez Samuel L. Jackson Jon Lovitz,Gene Quintano
The Shallows,Horror Drama Thriller,Blake Lively Óscar Jaenada Angelo Josue Lozano Corzo,Jaume Collet-Serra
The Butterfly Effect,Science Fiction Thriller,Ashton Kutcher Melora Walters Amy Smart,Eric Bress
Snow Day,Comedy Family,Chevy Chase Chris Elliott Jean Smart,Chris Koch
This Christmas,Comedy Drama,Loretta Devine Delroy Lindo Idris Elba,Preston A. Whitmore II
Baby Geniuses,Science Fiction Comedy Family,Kathleen Turner Christopher Lloyd Kim Cattrall,Bob Clark
The Big Hit,Action Adventure Comedy Thriller,Mark Wahlberg Lou Diamond Phillips Christina Applegate,Kirk Wong
Harriet the Spy,Comedy Drama Family,Michelle Trachtenberg Rosie O'Donnell J. Smith-Cameron,Bronwen Hughes
Child's Play 2,Drama Horror,Alex Vincent Jenny Agutter Gerrit Graham,John Lafia
No Good Deed,Crime Thriller,Idris Elba Taraji P. Henson Leslie Bibb,Sam Miller
The Mist,Science Fiction Horror Thriller,Thomas Jane Marcia Gay Harden Laurie Holden,Frank Darabont
Ex Machina,Drama Science Fiction,Domhnall Gleeson Alicia Vikander Oscar Isaac,Alex Garland
Being John Malkovich,Fantasy Drama Comedy,John Cusack Cameron Diaz Catherine Keener,Spike Jonze
Two Can Play That Game,Comedy Romance,Vivica A. Fox Morris Chestnut Anthony Anderson,Mark Brown
Earth to Echo,Family Adventure Science Fiction,Teo Halm Astro Resse Hartwig,Dave Green
Crazy/Beautiful,Drama Romance,Kirsten Dunst Jay Hernandez Bruce Davison,John Stockwell
Letters from Iwo Jima,Action Adventure Drama War,Ken Watanabe Kazunari Ninomiya Tsuyoshi Ihara,Clint Eastwood
The Astronaut Farmer,Adventure Comedy Drama Science Fiction,Billy Bob Thornton Virginia Madsen Max Thieriot,Michael Polish
Woo,Comedy Romance,Jada Pinkett Smith Tommy Davidson Duane Martin,Daisy von Scherler Mayer
Room,Drama Thriller,Brie Larson Jacob Tremblay Joan Allen,Lenny Abrahamson
Dirty Work,Comedy,Norm Macdonald Artie Lange Jack Warden,Bob Saget
Serial Mom,Comedy Crime Horror Thriller,Kathleen Turner Sam Waterston Ricki Lake,John Waters
Dick,Comedy,Kirsten Dunst Michelle Williams Will Ferrell,Andrew Fleming
Light It Up,Drama Thriller,Usher Raymond Vanessa Williams Forest Whitaker,Craig Bolotin
54,Music Drama,Ryan Phillippe Salma Hayek Breckin Meyer,Mark Christopher
Bubble Boy,Adventure Comedy Drama Romance,Jake Gyllenhaal Swoosie Kurtz Marley Shelton,Blair Hayes
Birthday Girl,Comedy Crime Thriller,Nicole Kidman Ben Chaplin Vincent Cassel,Jez Butterworth
21 & Over,Comedy,Miles Teller Skylar Astin Justin Chon,Jon Lucas
"Paris, je t'aime",Drama Romance,Steve Buscemi Natalie Portman Willem Dafoe,Isabel Coixet
Resurrecting the Champ,Drama,Samuel L. Jackson Josh Hartnett Alan Alda,Rod Lurie
Admission,Comedy Drama Romance,Tina Fey Paul Rudd Michael Sheen,Paul Weitz
La veuve de Saint-Pierre,Romance Drama,Daniel Auteuil Emir Kusturica Juliette Binoche,Patrice Leconte
Chloe,Drama Thriller Mystery,Julianne Moore Liam Neeson Amanda Seyfried,Atom Egoyan
Faithful,Comedy Crime Drama,Cher Chazz Palminteri Ryan O'Neal,Paul Mazursky
Find Me Guilty,Drama Action Comedy Crime,Vin Diesel Alex Rocco Frank Pietrangolare,Sidney Lumet
The Perks of Being a Wallflower,Drama Romance,Logan Lerman Emma Watson Ezra Miller,Stephen Chbosky
Excessive Force,Action,Thomas Ian Griffith Lance Henriksen James Earl Jones,Jon Hess
Infamous,Drama,Sigourney Weaver Toby Jones Gwyneth Paltrow,Douglas McGrath
The Claim,Drama Romance Western,Peter Mullan Milla Jovovich Wes Bentley,Michael Winterbottom
The Vatican Tapes,Thriller Horror,Olivia Taylor Dudley Michael Peña Djimon Hounsou,Mark Neveldine
Attack the Block,Action Comedy Science Fiction,Nick Frost Jodie Whittaker John Boyega,Joe Cornish
In the Land of Blood and Honey,Drama Romance War,Zana Marjanović Goran Kostić Branko Đurić,Angelina Jolie
The Call,Crime Thriller,Halle Berry Abigail Breslin Morris Chestnut,Brad Anderson
인천상륙작전,History Drama War Action,Lee Jung-jae Liam Neeson Lee Beom-soo,John H. Lee
The Crocodile Hunter: Collision Course,Family Action Adventure,Steve Irwin Terri Irwin Magda Szubanski,John Stainton
I Love You Phillip Morris,Comedy Drama Romance,Jim Carrey Ewan McGregor Leslie Mann,Glenn Ficarra
La Guerre du feu,Adventure Drama,Everett McGill Ron Perlman Nicholas Kadi,Jean-Jacques Annaud
Antwone Fisher,Drama Romance,Derek Luke Malcolm David Kelley Cory Hodges,Denzel Washington
The Emperor's Club,Drama Romance,Kevin Kline Emile Hirsch Embeth Davidtz,Michael Hoffman
True Romance,Action Thriller Crime Romance,Christian Slater Patricia Arquette Michael Rapaport,Tony Scott
Womb,Romance Science Fiction,Eva Green Matt Smith Lesley Manville,Benedek Fliegauf
Glengarry Glen Ross,Crime Drama Mystery,Al Pacino Jack Lemmon Alec Baldwin,James Foley
The Killer Inside Me,Crime Drama Thriller,Casey Affleck Kate Hudson Jessica Alba,Michael Winterbottom
Cat People,Drama Fantasy Horror Thriller,Nastassja Kinski Malcolm McDowell John Heard,Paul Schrader
Sorority Row,Horror Mystery Thriller,Rumer Willis Briana Evigan Jamie Chung,Stewart Hendler
The Prisoner of Zenda,Adventure Drama Romance,Ronald Colman Madeleine Carroll Raymond Massey,John Cromwell
Lars and the Real Girl,Comedy Romance Drama,Ryan Gosling Emily Mortimer Paul Schneider,Craig Gillespie
The Boy in the Striped Pyjamas,War Drama,Asa Butterfield Jack Scanlon Vera Farmiga,Mark Herman
Dancer in the Dark,Drama Crime Music,Björk Catherine Deneuve David Morse,Lars von Trier
Oscar and Lucinda,Drama Romance,Ralph Fiennes Cate Blanchett Ciarán Hinds,Gillian Armstrong
The Funeral,Crime Drama,Christopher Walken Chris Penn Annabella Sciorra,Abel Ferrara
Solitary Man,Comedy Drama Romance,Michael Douglas Danny DeVito Jesse Eisenberg,Brian Koppelman
Machete,Action Comedy Thriller,Danny Trejo Michelle Rodriguez Jessica Alba,Robert Rodriguez
Casino Jack,Crime Comedy Drama,Kevin Spacey Kelly Preston Hannah Endicott-Douglas,George Hickenlooper
The Land Before Time,Animation Adventure Family,Gabriel Damon Candace Hutson Judith Barsi,Don Bluth
태극기 휘날리며,Action Adventure Drama History War,Jang Dong-gun Won Bin Lee Eun-ju,Kang Je-gyu
The Perfect Game,Drama Family,Clifton Collins Jr Cheech Marin Moisés Arias,William Dear
The Exorcist,Drama Horror Thriller,Linda Blair Max von Sydow Ellen Burstyn,William Friedkin
Jaws,Horror Thriller Adventure,Roy Scheider Robert Shaw Richard Dreyfuss,Steven Spielberg
American Pie,Comedy Romance,Jason Biggs Chris Klein Thomas Ian Nicholas,Chris Weitz
Ernest et Célestine,Animation Comedy Drama Family,Anne-Marie Loop Lambert Wilson Pauline Brunner,Stéphane Aubier
The Golden Child,Action Adventure Comedy,Eddie Murphy Charles Dance Charlotte Lewis,Michael Ritchie
Think Like a Man,Comedy Romance,Michael Ealy Jerry Ferrara Meagan Good,Tim Story
Barbershop,Comedy Drama,Ice Cube Anthony Anderson Cedric the Entertainer,Tim Story
Star Trek II: The Wrath of Khan,Action Adventure Science Fiction Thriller,William Shatner Leonard Nimoy DeForest Kelley,Nicholas Meyer
Ace Ventura: Pet Detective,Comedy Mystery,Jim Carrey Sean Young Courteney Cox,Tom Shadyac
WarGames,Thriller Science Fiction,Matthew Broderick Dabney Coleman Ally Sheedy,John Badham
Witness,Crime Drama Romance Thriller,Harrison Ford Kelly McGillis Josef Sommer,Peter Weir
Act of Valor,Action Thriller War,Roselyn Sánchez Emilio Rivera Nestor Serrano,Mike McCoy
Step Up,Music Drama Romance Crime,Channing Tatum Jenna Dewan Damaine Radcliff,Anne Fletcher
Beavis and Butt-Head Do America,Animation Comedy,Mike Judge Bruce Willis Demi Moore,Mike Judge
Jackie Brown,Comedy Crime Romance,Pam Grier Samuel L. Jackson Robert Forster,Quentin Tarantino
Harold & Kumar Escape from Guantanamo Bay,Comedy Adventure,John Cho Kal Penn Neil Patrick Harris,Jon Hurwitz
Chronicle,Science Fiction Drama Thriller,Dane DeHaan Alex Russell Michael B. Jordan,Josh Trank
Yentl,Music Drama Romance,Barbra Streisand Mandy Patinkin Amy Irving,Barbra Streisand
Time Bandits,Family Fantasy Science Fiction Adventure Comedy,Sean Connery John Cleese Shelley Duvall,Terry Gilliam
Crossroads,Action Adventure Comedy Drama Family Music Romance,Britney Spears Zoe Saldana Taryn Manning,Tamra Davis
Project X,Comedy Crime,Oliver Cooper Jonathan Daniel Brown Thomas Mann,Nima Nourizadeh
Patton,Drama History War,George C. Scott Karl Malden Stephen Young,Franklin J. Schaffner
One Hour Photo,Horror Thriller,Robin Williams Connie Nielsen Michael Vartan,Mark Romanek
Quarantine,Horror Science Fiction Thriller,Jennifer Carpenter Steve Harris Jay Hernandez,John Erick Dowdle
The Eye,Drama Horror Thriller,Jessica Alba Alessandro Nivola Parker Posey,David Moreau
Johnson Family Vacation,Comedy Family,Cedric the Entertainer Vanessa Williams Steve Harvey,Christopher Erskin
How High,Comedy,Method Man Redman Obba Babatundé,Jesse Dylan
The Muppet Christmas Carol,Comedy Family Fantasy Drama,Michael Caine Don Austen Meredith Braun,Brian Henson
Frida,Drama Romance,Salma Hayek Alfred Molina Mía Maestro,Julie Taymor
Katy Perry: Part of Me,Documentary Music,Katy Perry Russell Brand Shannon Woodward,Dan Cutforth
The Fault in Our Stars,Romance Drama,Shailene Woodley Ansel Elgort Nat Wolff,Josh Boone
Rounders,Drama Crime,Matt Damon John Turturro Gretchen Mol,John Dahl
Top Five,Drama Comedy,Chris Rock Rosario Dawson J.B. Smoove,Chris Rock
Prophecy,Horror Science Fiction,Talia Shire Robert Foxworth Armand Assante,John Frankenheimer
Stir of Echoes,Horror Mystery Thriller,Kevin Bacon Kathryn Erbe Illeana Douglas,David Koepp
Philomena,Drama,Judi Dench Steve Coogan Sophie Kennedy Clark,Stephen Frears
The Upside of Anger,Comedy Drama,Joan Allen Kevin Costner Erika Christensen,Mike Binder
The Boys from Brazil,Horror Drama Thriller Science Fiction,Gregory Peck Laurence Olivier James Mason,Franklin J. Schaffner
Aquamarine,Fantasy Romance Family Comedy,Emma Roberts Joanna 'JoJo' Levesque Sara Paxton,Elizabeth Allen Rosenbaum
Paper Towns,Drama Mystery Romance,Nat Wolff Cara Delevingne Justice Smith,Jake Schreier
My Baby's Daddy,Comedy,Eddie Griffin Anthony Anderson Michael Imperioli,Cheryl Dunye
Nebraska,Drama Adventure,Bruce Dern Will Forte Bob Odenkirk,Alexander Payne
Tales from the Crypt: Demon Knight,Horror Comedy Thriller,Billy Zane William Sadler Jada Pinkett Smith,Ernest R. Dickerson
Max Keeble's Big Move,Comedy Family Fantasy Science Fiction,Alex D. Linz Zena Grey Nora Dunn,Tim Hill
Young Adult,Comedy Drama,Charlize Theron Patton Oswalt Patrick Wilson,Jason Reitman
Crank,Action Thriller Crime,Jason Statham Amy Smart Jose Pablo Cantillo,Brian Taylor
How to Be a Player,Comedy Romance,Bill Bellamy Lark Voorhies Bernie Mac,Lionel C. Martin
Living Out Loud,Comedy Drama Romance,Holly Hunter Danny DeVito Queen Latifah,Richard LaGravenese
Just Wright,Comedy Drama Romance,Queen Latifah Common Paula Patton,Sanaa Hamri
Rachel Getting Married,Drama,Anne Hathaway Rosemarie DeWitt Sebastian Stan,Jonathan Demme
The Postman Always Rings Twice,Romance Crime Drama,Jack Nicholson Jessica Lange John Colicos,Bob Rafelson
Girl with a Pearl Earring,Drama Romance,Scarlett Johansson Colin Firth Cillian Murphy,Peter Webber
Das Boot,Action Drama History War Adventure,Jürgen Prochnow Herbert Grönemeyer Klaus Wennemann,Wolfgang Petersen
Sorority Boys,Comedy,Barry Watson Michael Rosenbaum Harland Williams,Wallace Wolodarsky
About Time,Comedy Drama Science Fiction,Domhnall Gleeson Rachel McAdams Bill Nighy,Richard Curtis
十面埋伏,Adventure Drama Action Romance,Takeshi Kaneshiro Andy Lau Zhang Ziyi,Zhang Yimou
Arbitrage,Drama Thriller,Richard Gere Susan Sarandon Tim Roth,Nicholas Jarecki
Project Almanac,Science Fiction Thriller,Jonny Weston Virginia Gardner Sofia Black-D'Elia,Dean Israelite
Cadillac Records,Drama History Music,Adrien Brody Jeffrey Wright Beyoncé Knowles,Darnell Martin
Screwed,Action Comedy,Norm Macdonald Dave Chappelle Danny DeVito,Scott Alexander
Fortress,Action Thriller Science Fiction,Christopher Lambert Kurtwood Smith Loryn Locklin,Stuart Gordon
For Your Consideration,Comedy Drama,Catherine O'Hara Harry Shearer Parker Posey,Christopher Guest
Celebrity,Drama Comedy,Kenneth Branagh Judy Davis Joe Mantegna,Woody Allen
Running with Scissors,Drama Comedy,Annette Bening Brian Cox Joseph Cross,Ryan Murphy
From Justin to Kelly,Comedy Romance,Kelly Clarkson Justin Guarini  Brandon Henschel,Robert Iscove
Girl 6,Comedy,Theresa Randle Isaiah Washington Spike Lee,Spike Lee
In the Cut,Mystery Thriller,Meg Ryan Mark Ruffalo Jennifer Jason Leigh,Jane Campion
Two Lovers,Drama Romance,Joaquin Phoenix Gwyneth Paltrow Isabella Rossellini,James Gray
Last Orders,Comedy Drama,Michael Caine Tom Courtenay David Hemmings,Fred Schepisi
괴물,Horror Drama Science Fiction,Song Kang-ho Park Hae-il Bae Doona,Bong Joon-ho
The Pursuit of D.B. Cooper,Adventure Crime Thriller,Robert Duvall Treat Williams Kathryn Harrold,Roger Spottiswoode
Ravenous,Comedy Horror Thriller Western,Guy Pearce Robert Carlyle David Arquette,Antonia Bird
Charlie Bartlett,Comedy Drama,Anton Yelchin Robert Downey Jr. Hope Davis,Jon Poll
La grande bellezza,Comedy Drama,Toni Servillo Carlo Verdone Sabrina Ferilli,Paolo Sorrentino
The Dangerous Lives of Altar Boys,Comedy Drama,Emile Hirsch Kieran Culkin Jodie Foster,Peter Care
Stoker,Drama Horror Thriller,Mia Wasikowska Nicole Kidman Matthew Goode,Park Chan-wook
2046,Fantasy Drama Science Fiction Romance,Tony Leung Chiu-Wai Zhang Ziyi Faye Wong,Wong Kar-wai
Married Life,Crime Drama Romance,Chris Cooper Pierce Brosnan Patricia Clarkson,Ira Sachs
Duma,Adventure Drama Family,Alex Michaeletos Campbell Scott Mary Makhatho,Carroll Ballard
Ondine,Drama Romance,Colin Farrell Alicja Bachleda-Curuś Dervla Kirwan,Neil Jordan
Brother,Crime Drama Thriller,Takeshi Kitano Omar Epps Claude Maki,Takeshi Kitano
Welcome to Collinwood,Comedy,William H. Macy Isaiah Washington Sam Rockwell,Anthony Russo
Critical Care,Comedy Drama,James Spader Kyra Sedgwick Helen Mirren,Sidney Lumet
The Life Before Her Eyes,Thriller Drama Mystery,Uma Thurman Evan Rachel Wood Eva Amurri Martino,Vadim Perelman
Darling Companion,Drama Romance,Diane Keaton Kevin Kline Sam Shepard,Lawrence Kasdan
Trade,Drama Thriller,Kevin Kline Cesar Ramos Paulina Gaitán,Marco Kreuzpaintner
Sorstalanság,War Drama,Marcell Nagy Béla Dóra Bálint Péntek,Lajos Koltai
Breakfast of Champions,Comedy,Bruce Willis Albert Finney Nick Nolte,Alan Rudolph
三枪拍案惊奇,Comedy Drama Thriller,Sun Honglei Xiao Shen Yang Yan Ni,Zhang Yimou
Cypher,Thriller Science Fiction Mystery,Jeremy Northam Lucy Liu Nigel Bennett,Vincenzo Natali
南京!南京!,Drama History War,Liu Ye Gao Yuanyuan Hideo Nakaizumi,Lu Chuan
兔侠传奇,Animation Family Action Adventure Comedy,Jon Heder Tom Arnold Michael Clarke Duncan,Lijun Sun
Space Battleship Yamato,Science Fiction,Hiroyuki Ikeuchi Takuya Kimura Meisa Kuroki,Takashi Yamazaki
5 Days of War,War Drama,Rupert Friend Val Kilmer Andy García,Renny Harlin
Triangle,Horror,Melissa George Liam Hemsworth Emma Lung,Christopher Smith
10 Days in a Madhouse,Drama,Caroline Barry Christopher Lambert Kelly LeBrock,Timothy Hines
Heaven is for Real,Drama,Greg Kinnear Kelly Reilly Connor Corum,Randall Wallace
Snatch,Thriller Crime,Jason Statham Brad Pitt Vinnie Jones,Guy Ritchie
Dancin' It's On,Drama Romance,Witney Carson Chehon Wespi-Tschopp Gary Daniels,David Winters
Pet Sematary,Drama Horror,Dale Midkiff Fred Gwynne Denise Crosby,Mary Lambert
まあだだよ,Drama,Tatsuo Matsumura Kyôko Kagawa Hisashi Igawa,Akira Kurosawa
The Cry of the Owl,Drama,Paddy Considine Julia Stiles Caroline Dhavernas,Jamie Thraves
三城记,Drama History Romance,Lau Ching-Wan Tang Wei Qin Hailu,Mabel Cheung
Gremlins,Fantasy Horror Comedy,Zach Galligan Phoebe Cates Hoyt Axton,Joe Dante
Star Wars,Adventure Action Science Fiction,Mark Hamill Harrison Ford Carrie Fisher,George Lucas
Dirty Grandpa,Comedy,Zac Efron Robert De Niro Julianne Hough,Dan Mazer
Doctor Zhivago,Drama Romance War,Omar Sharif Julie Christie Geraldine Chaplin,David Lean
Trash,Adventure Crime Drama Thriller,Rickson Tevez Eduardo Luis Gabriel Weinstein,Stephen Daldry
High School Musical 3: Senior Year,Comedy Drama Family Music Romance,Zac Efron Vanessa Hudgens Ashley Tisdale,Kenny Ortega
The Fighter,Drama,Mark Wahlberg Christian Bale Amy Adams,David O. Russell
Jackass Number Two,Action Comedy Documentary,Johnny Knoxville Bam Margera Steve-O,Jeff Tremaine
My Cousin Vinny,Comedy Drama,Joe Pesci Ralph Macchio Marisa Tomei,Jonathan Lynn
If I Stay,Drama,Chloë Grace Moretz Jamie Blackley Liana Liberato,R.J. Cutler
Drive Hard,Action Comedy Crime,Thomas Jane John Cusack Zoe Ventoura,Brian Trenchard-Smith
Major League,Comedy,Tom Berenger Charlie Sheen Corbin Bernsen,David S. Ward
St. Trinian's,Comedy Family Science Fiction,Talulah Riley Rupert Everett Gemma Arterton,Barnaby Thompson
Phone Booth,Thriller Drama,Colin Farrell Kiefer Sutherland Forest Whitaker,Joel Schumacher
A Walk to Remember,Drama Romance,Mandy Moore Shane West Peter Coyote,Adam Shankman
Dead Man Walking,Drama,Susan Sarandon Sean Penn Robert Prosky,Tim Robbins
Cruel Intentions,Drama Romance Thriller,Sarah Michelle Gellar Ryan Phillippe Reese Witherspoon,Roger Kumble
Saw VI,Horror Mystery,Tobin Bell Costas Mandylor Betsy Russell,Kevin Greutert
History of the World: Part I,Comedy,Mel Brooks Dom DeLuise Madeline Kahn,Mel Brooks
The Secret Life of Bees,Adventure,Dakota Fanning Queen Latifah Jennifer Hudson,Gina Prince-Bythewood
Corky Romano,Action Comedy Crime,Chris Kattan Vinessa Shaw Peter Falk,Rob Pritts
Raising Cain,Drama Horror Thriller Crime,John Lithgow Lolita Davidovich Steven Bauer,Brian De Palma
F.I.S.T.,Drama Action,Sylvester Stallone Rod Steiger Peter Boyle,Norman Jewison
Invaders from Mars,Science Fiction,Karen Black Hunter Carson Timothy Bottoms,Tobe Hooper
Brooklyn,Drama Romance,Saoirse Ronan Domhnall Gleeson Emory Cohen,John Crowley
Barry Lyndon,Drama Romance War,Ryan O'Neal Marisa Berenson Hardy Krüger,Stanley Kubrick
Out Cold,Comedy,Jason London Lee Majors Zach Galifianakis,Brendan Malloy
The Ladies Man,Comedy,Tim Meadows Karyn Parsons Billy Dee Williams,Reginald Hudlin
Quartet,Drama Comedy Romance,Maggie Smith Tom Courtenay Billy Connolly,Dustin Hoffman
Tomcats,Comedy Romance,Jerry O'Connell Shannon Elizabeth Jake Busey,Gregory Poirier
Frailty,Drama Thriller Crime,Bill Paxton Matthew McConaughey Powers Boothe,Bill Paxton
Woman in Gold,Drama,Helen Mirren Ryan Reynolds Tatiana Maslany,Simon Curtis
Kinsey,Drama,Liam Neeson Laura Linney Chris O'Donnell,Bill Condon
Army of Darkness,Fantasy Horror Comedy,Bruce Campbell Embeth Davidtz Marcus Gilbert,Sam Raimi
Slackers,Comedy Romance,Jason Segel Devon Sawa Jason Schwartzman,Dewey Nicks
What's Eating Gilbert Grape,Romance Drama,Johnny Depp Leonardo DiCaprio Juliette Lewis,Lasse Hallström
The Visual Bible: The Gospel of John,Drama History,Christopher Plummer Henry Ian Cusick Stuart Bunce,Philip Saville
Vera Drake,Crime Drama,Imelda Staunton Sally Hawkins Richard Graham,Mike Leigh
The Guru,Comedy Romance,Jimi Mistry Heather Graham Marisa Tomei,Daisy von Scherler Mayer
The Perez Family,Comedy Drama Romance,Marisa Tomei Alfred Molina Anjelica Huston,Mira Nair
Inside Llewyn Davis,Drama Music,Oscar Isaac Carey Mulligan Justin Timberlake,Joel Coen
O,Drama Romance Thriller,Mekhi Phifer Josh Hartnett Andrew Keegan,Tim Blake Nelson
Return to the Blue Lagoon,Drama Adventure Romance,Milla Jovovich Brian Krause Lisa Pelikan,William A. Graham
The Molly Maguires,Drama History,Sean Connery Samantha Eggar Richard Harris,Martin Ritt
Romance & Cigarettes,Comedy Music Romance,James Gandolfini Susan Sarandon Kate Winslet,John Turturro
Copying Beethoven,Drama,Ed Harris Diane Kruger Matthew Goode,Agnieszka Holland
